target,experiment_dir,subdir,cache_interval,layer_depth,fid_score,condition_accuracy
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_4,1,4,157.76402436885655,0.5778795480728149
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_14,1,14,157.1918156435965,0.5874468088150024
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_2,3,2,191.85354638114876,0.9445496201515198
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_3,5,3,200.72503731307035,0.9569343328475952
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_13,3,13,193.71851687436964,0.9348465204238892
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_6,5,6,206.10605653656742,0.9517192244529724
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_13,1,13,158.53199951724633,0.5943158268928528
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_5,1,5,158.79668294701025,0.5851888656616211
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_14,4,14,196.00399299475848,0.9594601392745972
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_15,2,15,191.1359695944133,0.9410207271575928
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_1,1,1,157.08651250240928,0.5907189846038818
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_15,3,15,194.11369961904091,0.9522390961647034
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_5,4,5,194.8945452573997,0.9609171152114868
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_6,1,6,157.0457273056058,0.5835849046707153
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_14,2,14,186.75364750543957,0.9339175224304199
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_15,1,15,159.4379845968698,0.5713489055633545
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_2,1,2,160.21178708389107,0.5625935792922974
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_12,1,12,160.67877349510462,0.5757343769073486
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_7,4,7,196.59886617973018,0.9504725337028503
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_11,3,11,191.79781485703356,0.947237491607666
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_13,5,13,202.7198205133396,0.9511764049530029
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_4,4,4,198.73428411459412,0.9578449130058289
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_10,4,10,194.6378154887548,0.9559285640716553
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_7,1,7,157.22587511527854,0.5805588960647583
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_10,5,10,203.78012396061843,0.9542877674102783
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_12,5,12,203.78299269417658,0.9553459882736206
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_2_layer_depth_13,2,13,188.45446679339187,0.9276680946350098
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_3_layer_depth_6,3,6,195.3173885552215,0.9482901096343994
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_1_layer_depth_3,1,3,157.16967948757582,0.5874351263046265
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_5_layer_depth_4,5,4,201.79380089856252,0.9619085788726807
3,deepcache_layer_experiments_target=3_20250828_225229,cache_interval_4_layer_depth_13,4,13,194.57230868262428,0.9613524675369263
